domain	subdomain	ko_KR	en_XX
경제	경제일반	그러한 제한과는 별도로 당해 선별 유통 시스템에 대해서는 EU 기능 조약 제101조(3)에 의거 개별적인 평가를 통해 그 위법성 여부가 판단된다.	Apart from such restrictions, the illegality of the selective distribution system is judged through an individual evaluation in accordance with Article 101(3) of the EU Functions Treaty.
교육	초중고등교육	더 많은 비교과내역을 학생부에 기록해야 한다는 압박은 검증되지 않은 각종 대회나 시험의 난립과 이로 인한 수상, 인증 등을 둘러싼 비리로 문제화되었다.	The pressure to record more non-curricular details in the student register has become a problem due to the proliferating unverified competitions and tests and surrounding awards and certifications corruption.
문화	공연	"이는 앞서 ""그림 2""에 나온 ""문화의 재구성""에 해당하고, 문화접변의 다양한 결과 중 융합에 해당한다."	"This corresponds to the ""reconstruction of culture"" shown in ""Figure 2"" above, and it corresponds to fusion among the various results of cultural encounters."
folk_and_food	향토문화/음식	1986년 12월 1일부터 온라인 업무를 개시하였으며 1994년 12월 22일 250억 원의 유상 증자가 실시되었다.	The online business began on December 1, 1986, and on December 22, 1994, a paid-in capital increase of KRW 25 billion was implemented.
정치	북한	중국 조선족이 민족 역사를 보존할 수있었던 데에는 바로 이러한 민족 학교의 교육이 중요하였다.	The education among these cultural schools had been important to the truth that the Korean-Chinese of China was able to protect their particular national history.
finance	금융/증시	그런데 지금은 연준이 금리를 낮춰주고 무제한 돈 풀어준다고 해서 사람들이 마스크를 벗고 길거리에 나가서 경제활동을 하고, 소비활동을 할 수 있는 건 아니잖아요.	But at this point, just because the Fed lowers interest rates and releases unlimited money, it doesn't mean that people can take off their masks, go out to the streets, do economic activities, and spend money.
전자	디스플레이	그에 따라 스페이서(195)의 경사면에서 외광의 경로 및 편광 변화가 더 커질 수도 있다.	Accordingly, the path of external light and the change in polarization on the inclined surface of the spacer 195 may be increased.
해외고객과의채팅	숙박,음식점	그러다 보니 감회가 더 새로웠습니다.	As a result, the feeling was re-newed.
구어체	구어체	신뢰가 중요한 거라고 했지만 불안해지는 마음은 어쩔 수 없는 가 봅니다.	People say that faith is important, but I cannot help feeling anxious.
고무 타이어 및 튜브 생산업	청구항	타이어의 고무 부재를 재치하는 재치면을 구비하고, 상기 재치면은 평면형으로 형성되는 평면부와 상기 평면부에 대해 움푹 들어가는 복수의 오목부를 구비하는, 타이어 제조 장치.	A tire manufacturing apparatus comprising a mounting surface on which a rubber member of a tire is mounted, and the above-described mounting surface includes a flat surface portion formed in a flat shape and a plurality of recesses recessed with respect to the flat surface portion.
일상생활	예약	그리고 다음 주에 있을 패션쇼 때문에 학생들을 멘토링하고 있어요.	I've also been mentoring my students for an upcoming fashion show next week.
위해식품정보	식품일반	알려진 모든 Ca2+-ATPase 단백질은 길이가 3,000bp 이상인 mRNA에 해당하는 약 120kDa이기 때문에 4kb 미니염색체는 이러한 단백질을 인코딩할 수 있어야 한다.	A 4-kb minichromosome should be able to encode such a protein, since all the known Ca2+-ATPase proteins are about 120 kDa, corresponding to mRNAs with lengths of at least 3,000 bp.
뉴스	경제,국제경제	김형수 케이프투자증권 연구원은 “미국 항암제 시장 진출(2022년)을 준비하고 있으며, 성장율(10% 이상)이 높은 베트남시장에 생산공장을 완공해 현지성장이 기대된다”고 말했다.	"""We are preparing to enter the U.S. anti-cancer drug market (2022) and are expecting local growth as we have completed production facilities in Vietnam, where growth rate is higher than 10%,"" said Kim Hyung-soo, a researcher at Cape Investment & Securities."
ICT	통신	상기 Ar2 및 상기 Ar3은 각각 독립적으로 하기 Ar-a 내지 Ar-i 중 어느 하나로 표시될 수 있다.	Ar2 and Ar3 may be each independently represented by any one among Ar-a to Ar-i.
구어체	구어체	두 번째로, 저는 에어비앤비 투어에 직접 참여해 현장감 있는 사진과 영상을 만들어 소개하려고 합니다.	Second, I would join the tour myself to take pictures and videos then introduce them.
해외고객과의채팅	기계장비,의료정밀	아직 발송을 안 해서 충분히 가능합니다.	It's possible because it hasn't been shipped yet.
뉴스	경제,산업_기업	현대제철은 23일 서울 강남구 그랜드인터컨티넨탈파르나스호텔에서 열린 산업통상자원부 주관 2018년 세계일류상품 선정기업 인증서 수여식에서 자사 제품이 추가 선정됐다고 밝혔다.	Hyundai Steel announced that its products were additionally selected at the 2018 World-Class Product Awards Certificate Ceremony hosted by the Ministry of Trade, Industry and Energy held at Grand InterContinental Seoul Parnas in Gangnam-gu, Seoul on the 23rd.
위해식품정보	식품일반	따라서, 당사의 세 가지 필리 혈청 그룹은 ETEC 균주의 모든 부착 메커니즘을 포함하지 않는다.	Thus, our three pili serogroups do not encompass all of the attachment mechanisms of ETEC strains.
folk_and_food	향토문화/음식	높이 30m, 길이 200m의 기암절벽이며 두 개의 해식동이 있다.	It is a 30m-high and 200m-long rock cliff with two sea caves.
교육	교육공학	2016년 전면 시행과 더불어 우리 학교도 도입되어 올해로 4년째 운영되고 있으며 이제는 안정적으로 정착되고 있다.	In addition to the full implementation in 2016, our school has been in operation over the last four years, and is now settling in a stable manner.
뉴스	사회,날씨	제19호 태풍 솔릭이 2012년 9월 발생한 태풍 ‘산바’ 이후 6년 만에 한반도를 관통하는 태풍이 될 전망이다.	The 19th typhoon Soulik is expected to become the first typhoon to penetrate the Korean Peninsula in six years since the typhoon “Sanba“ that took place in September 2012.
해외영업	도소매유통	최근 저희 회사의 프레젠테이션에 와 주셔서 감사했습니다.	Thank you for coming to our recent presentation.
기후	기후	그 논의는 완화라는 주제에 비해 논의 강도나 빈도가 훨씬 약하다고 할 수 있다.	The discussion can be said to be much weaker in intensity or frequency than the topic of mitigation.
기술과학	빅데이터	컴퓨팅 유닛(134)마다 2개의 지속적인 스레드는 제1 스레드가 데이터가 도달하기를 기다리는 동안 제2 스레드가 실행될 수 있는 장점을 제공할 수 있다.	Two persistent threads per computing unit 134 may provide the advantage that a second thread may execute while the first thread is waiting for data to arrive.
뉴스	스포츠,골프	클럽헤드와 공이 만나는 임팩트 순간 만큼은 정확한 자세를 취한다.	Be sure to be in an accurate posture in an impact moment when the club head and the ball meet each other.
조례	계양구	구청장은 계양교육혁신지구사업 운영을 위하여 인천광역시서부교육지원청(이하 “교육지원청”이라 한다), 학교, 개인·단체 등에 보조금을 지원할 수 있다.	"The head of the Gu may subsidize the Incheon Metropolitan City Seobu District Office of Education (hereinafter referred to as the ""Office of Education""), schools, individuals, organizations, etc. for the operation of the Gyeyang Education Innovation Zone project."
일상생활	구매	이거 진짜 이 펜트하우스는 끊임없는 반전이지만 가장 사실 놀랐던 것 중에 하나가 우리 이지아 선배님의 심수련이 멀쩡하게 차 마시다가.	Penthouse is full of twists but the most surprising part was when Lee Ji-a's character Sim Su-ryeon was drinking tea as usual.
위해식품정보	농산물	H와 G에 대한 95% 신뢰 구간은 두 그룹 간에 겹쳤으며, 이는 이 두 지수 추정의 정확성이 부족함을 시사한다.	The 95% confidence interval for H and G overlapped between the two groups, suggesting a lack of precision in estimations of these two indices.
700	no_aug	수기 서명된 상업송장 원본 2부 및 사본 6부	MANUALLY SIGNED COMMERCIAL INVOICE IN 2 ORIGINALS AND 5 COPIES 6
기후	기후	제가 교차적 점검을 할 수 있는 자료들이 아니라서 그냥 믿고 따르는 편이고요.	These are not materials that I can cross-check, so I just trust and follow them.
정치	북한	현존 사회주의 국가들의 정치 권력이 스탈린의 1951년 테제 이후 가치 법칙의 작동을 인정하게 된 이유는 크게 두 가지이다.	There are two main reasons why the political power of existing socialist countries has recognized the operation of the value law since Stalin's 1951 Teze.
세계	국제기구	국제구호개발 단체인 BBB은 28일 배우 AAA(24·여)를 홍보대사로 위촉했다고 밝혔다.	Good People, an international relief and development organization, announced on the 28th that it had appointed actress Elijah Lee (24, female) as a public relations ambassador.
경제	경제일반	의지력의 한계는 자기의 오랜 의지에 반하는 것을 알면서도 반하는 행동을 하는 행위에 대해 설명하고 있다.	Bounded willpower describes the act of knowingly acting against one's old will.
뉴스	사회,사건_사고	피고가 일본 기업이라 ‘국외송달하는 바람에 기한을 넘기게 된 것’이라며 그간 제기된 의혹들을 사실상 부인하고 나선 것이다.	"The defendant effectively denied the allegations raised in the past, saying ""The deadline had been exceeded due to overseas delivery"" because it was a Japanese company."
해외고객과의채팅	금융,보험	하지만 더 자세히 설명해 주시겠습니까?	However, can you explain it further, please?
위해식품정보	식품일반	배출 시 칼슘의 신호 전달 역할 가능성을 다루기 위해 칼슘이 배출을 유도하는 능력을 조사했다.	To address the possibility of a signaling role for calcium at excystment, the capacity of calcium to induce excystment was examined.
구어체	구어체	어머니께서 오늘 주시는 좋은 말씀이에요.	This is the good word the mother gives today.
기계	재료공학	PID 이득은 시스템 모델의 변수가 정의되면 최적화된 값으로 설정할 수 있다.	The PID gain can be set to an optimized value once the variables in the system model are defined.
전기	배터리	후크부(42b) 및 후크걸림부(46b)는 제 1하우징(42)과 제 2하우징(46)의 외주면에 형성된다.	The hook portion 42b and the hook engagement portion 46b are formed on outer circumferential surfaces of the first housing 42 and the second housing 46.
위해식품정보	축수산물	식품 보존 및 공기 및 포장재 오염 제거를 위한 비열 저온 살균 수단으로 제시되었다.	It has been proposed as a means of nonthermal pasteurization for food preservation and for decontaminating air and packaging materials.
해외고객과의채팅	기계장비,의료정밀	네, BBB2사입니다.	Yes, it's BBB2.
뉴스	문화,출판	책이 출간되는 오는 12월에는 경기 히든작가 출간기념회도 개최할 예정이다.	In December, when the book is published, the Gyeonggi Hidden Writers Publication Commemoration Ceremony will also be held.
기타 음향기기 제조업	제목	가동자석형 스피커 및 그 제조방법	Moving-magnet loudspeaker and method for manufacturing same
해외영업	도소매유통	천연의 기분 좋은 향이 나는 풍부한 버터 질감의 핸드 크림입니다.	This is a rich buttery textured hand cream with a natural pleasing fragrance.
일상생활	여행	주변에 경찰서가 없으면 운전자에게 사건을 신고하세요.	If there are no nearby stations, report the incident to your driver.
공기 조화장치 제조업	제목	제어 방출 냉각 첨가제 조성물	CONTROLLED REALEASE COOLING ADDITIVE COMPOSITION
해외고객과의채팅	숙박,음식점	휴대폰으로 두 번 전화해 봤는데 받지 않았어요.	I called him twice on my cell phone, but he didn't answer.
의학	내과학	환자는 퇴원하여 복부 CT로 외래진료소에서 주기적으로 추적되었다.	The patient was discharged and was followed up periodically at the outpatient clinic with abdominal CT.
위해식품정보	농산물	UGC 안티코돈을 가진 4개의 새로운 tRNA는 높은 유사성에서 알 수 있듯이 기존의 보존된 tRNA 유전자 중 하나의 유전자 복제에 의해 발생했을 가능성이 크다.	The four new tRNAs with the UGC anticodon most likely arose by gene duplication of one of the existing conserved tRNA genes, as indicated by their high similarity.
뉴스	IT_과학,인터넷_SNS	산림청은 가을철을 맞아 산을 찾는 사람들이 많아짐에 따라 밤·도토리·버섯·산약초 등의 임산물 불법채취가 급증할 것으로 예상됨에 따라 오는 15일부터 다음달 31일까지 가을철 집중단속을 실시한다고 13일 밝혔다.	The Forest Service expects that there will be many people coming to the mountains in autumn, and considering that there will be a huge increase in illegal collection of forest products such as chestnuts, acorns, mushrooms, and medicinal herbs, it announced on the 13th that it will undertake an intensive crackdown from the coming 15th to the 31st of next month.
교육	초중고등교육	나눗셈 알고리즘을 도입하는 활동을 등분제 상황과 그에 알맞은 수모형 활동으로 제시한 것은 적절한 것으로 보인다.	It seems appropriate to present activities that introduce division algorithms as equivariant situations and a number model activity suitable for it.
해외영업	숙박,음식점	그리고 사과의 의미로 유럽행 왕복 항공권을 보내드립니다.	And I'm sending you a round trip ticket to Europe as a token of apology.
구어체	구어체	우리는 한국에 갔다가 오늘 새벽에 왔습니다.	We went to Korea and returned early this morning.
일상생활	여행	그의 행보가 기대된다.	I look forward to his move.
글로벌동향정보	식품일반	사망률, 즉 전체 진딧물의 죽은 수는 3일 동안 24시간 간격으로 평가되었다.	Percent mortality, i.e., the number of dead aphids in the total, was scored at 24-h intervals for 3 days.
기후	기후	이러한 성공적인 사업을 바탕으로 정부는 희망 글로벌 파트너십, 상생 보조 프로그램 등 새로운 분야에 대한 프로그램을 추진할 예정이며, 중소기업의 탄소 발자국에 대한 적극적인 참여를 권고하고 있다.	Based on these successful projects, the government will pursue programs in new areas such as hope global partnerships and win-win assistance programs, and recommends active participation in the carbon footprint of SMEs.
의학	간호학	분석 결과는 하위 범주와 범주 및 주제에 대하여 연구 참여자의 진술을 토대로 상세하게 기술하였다.	The analysis outcomes were described in detail based in the research participants' statements about subcategories, categories, and topics.
위해식품정보	식품일반	이 결과는 gp63의 존재하에서 일반적으로 효율적인 gI 수출 동역학과 현저한 대조를 이룬다.	This result was in marked contrast to the normally efficient gI export kinetics in the presence of gp63.
일상생활	구매	누가 더 아주 각도 있게 누가 더 입체적으로 그렸나 이걸 보잖아요.	We tends to focus on the dimensions like with more angles.
세계	사회_환경	사우디 아라비아와 같은 산유국들이 지구온난화 방지를 위한 탄소배출 규제 합의에 걸림돌이 되고 있다고 인터내셔널 헤럴드 트리뷴(IHT)이 15일 보도했다.	Oil producers such as Saudi Arabia are stumbling on a carbon emissions regulatory agreement to prevent global warming, the International Herald Tribune (IHT) reported on the 15th.
기술과학	빅데이터	시스템(300)은 도 1의 단말기(100), 도 2의 단말기(200), 도 9의 스마트폰(900), 및/또는 도 10의 컴퓨터 단말기(1000)와 관련하여 구현될 수 있다.	The system 300 may be implemented in relation to the terminal 100 of FIG. 1, the terminal 200 of FIG. 2, the smartphone 900 of FIG. 9, and/or the computer terminal 1000 of FIG. 10.
교육	초중고등교육	이러한 인성 교육의 이론적 바탕을 이루는 것이 사회심리학의 핵심 이론의 하나인 인지 부조화 이론이다.	One of the core theories of social psychology is the theory of cognitive dissonance that forms the theoretical basis for this personality education.
finance	금융/증시	최근 미국 아이폰 소비자들이 애플을 상대로 제기한 집단소송에서 애플은 1심에서 소비자와 합의를 통해 상호 적정한 배상금액을 확정하기도 했다.	In a recent class-action suit filed by U.S. iPhone consumers against Apple, Apple also confirmed a mutually appropriate amount of compensation through an agreement with consumers in the first trial.
위해식품정보	식품일반	이것은 그 자체로 malT가 malT가 말토오스 수송 시스템의 형성을 제어하여 유도인자의 진입을 제어하는 것으로 알려져 있기 때문에 malT가 pulA 발현을 제어한다는 것을 증명하지 못했다.	This, in itself, did not prove that malT controlled pulA expression, since malT is known to control the formation of the maltose transport system and hence the entry of the inducer.
travel	관광	크기는 제주도 약 3분의 1로, 연평균 기온은 27도다.	Its size is about the third of Jeju Island and its annual average temperature is 27 degrees celsius.
법제도정보	축수산물	즉, 이 논문에 따르면 위험이 허용 가능한지 여부를 결정하려면 다른 상황에서 결정하는 데 사용하는 것과 동일한 기준을 사용해야 한다.	In other words, according to this thesis, in order to decide whether or not a risk is acceptable you shall use the same standard which you use to decide in any other situation.
기술과학	IT	미러 표시 모드에서는 상부 표시 장치(3)에 출력되어 있는 상부 화상과 외관이 동일한 미러 표시 모드 화상이 하부 표시 장치(4)에 출력된다.	In the mirror display mode, a mirror display mode image having the same appearance as the upper image output to the upper display device 3 is output to the lower display device 4.
일상생활	음식	똑같은 재료로 한 거잖아.	It's made of the same ingredients.
위해식품정보	식품일반	세포 내 슬러그 흐름 열 교환기 연구에 대한 예측된 D71.7.c 값은 4.1로, 고온, 단기 저온 살균 최소값에 대해 잠재적으로 안전하지 않은 3.7D 비활성화 마진을 나타낸다.	The predicted D71.7.c value for intracellular slug flow heat exchanger studies was 4.1, indicating a potentially unsafe 3.7 D margin of inactivation for the high-temperature, short-time pasteurization minimum.
교육	평생교육	라포 형성 및 지시 이해의 어려움으로 기초학습지능검사의 진행은 불가능하였다.	It was impossible to proceed with the basic learning intelligence test due to difficulties in rapport formation and instruction understanding.
경제	경제일반	가장 큰 원인은 과세 소득에 대한 인적 공제와 특별 공제 및 특별 세액 공제의 범위가 과도하기 때문이다.	The main reason is that the scope of personal deductions and special deductions, and notable tax credits for taxable income is excessive.
위해식품정보	식품일반	동물 시체의 신속한 매장과 후속 광물화는 부드러운 부분의 보존에 필수적인 것으로 판단된다.	Rapid burial of animal bodies and subsequent mineralization is thought to be essential for the preservation of soft parts.
일상생활	여행	휴식을 취하고 음식을 먹을 시간이 있나요?	Do we have time for a break and some food?
해외영업	도소매유통	클래식 음악을 들으며 올라온 안전하고 꺠끗한 천연 암반수 입니다.	It is a safe and clean natural rock water that came up while listening to classical music.
연구평가정보	식품일반	배지를 첨가하기 전에 비타민 E를 소량의 에탄올에 용해시켰다.	Vitamin E was dissolved in a small volume of ethanol before addition the pered media.
문화	공연	향후 아시아 문화 중심 도시의 핵심 시설로 전당이 거듭나기 위해서는 단발적인 사업이나 프로젝트가 아닌 지속적인 연구와 논의가 필요할 것으로 사료되며, 이를 위한 구체적인 계획과 예산 지원 등이 수반되어야 할 것이다.	In order for the hall to be reborn as a core facility in an Asian cultural center in the future, it is believed that continuous research and discussion, rather than a one-time project or project, will be required, and specific plans and budget support for this will be required.
law	대법원판례	귀책사유로 인하여 출석 없이 변론기일이 진행되어 변론의 기회를 상실한 경우, 절대적 상고이유에 해당하는지 여부(소극)	In a case where an opportunity for pleading is lost because the date of pleading was in progress without the presence with cause attributable to the Defendant, whether it constitutes an absolute ground of appeal (negative)
medical	의료/보건	또 암 진단을 받은 고객은 약 32만명이었고 사망보험금이 지급된 고객은 7만3000명이었다.	Also, about 320,000 customers were diagnosed with cancer, and 73,000 customers were paid death insurance.
경제	경제경영	첫 번째는 재원의 집중을 위해 선정한 중점협력국의 선정기준이 실질적인 재원배분 시 고려하는 점과는 일치하지 않는다는 것이다.	The first is that the criteria for the selection of priority partner countries selected for the concentration of financial resources are not consistent with what is considered in the actual allocation of financial resources.
정치	북한	다른 국가들과 달리 북한 신문은 북한 당국에서 발행하는 당의 기관지이며 당국의 방침을 북한 주민에게 전달하는 역할을 하고 있다.	Unlike other countries, North Korean newspapers are the party's newspapers published by the North Korean authorities and serve to communicate the policies of the North Korean leaders to the people of North Korea.
유압 기기 제조업	청구항	한 쪽에 제1 방향으로 피스톤 이동 중 드릴 파이프(10) 내의 드릴링 유체 압력에 의해 영향을 받는 상대적으로 큰 피스톤 영역(11) 및 대향하여 제1 방향으로 피스톤 이동 중 드릴링 유체 유동의 보다 작은 부분의 증가된 압력을 발생시키는 상대적으로 작은 피스톤 영역(12)을 가지며 드릴링 유체 압력의 영향을 받아서 실린더(1, 2, 3)의 대향 단부 위치 사이에서 이동 가능한 왕복 피스톤(6)과, 실린더(1, 2, 3) 내의 피스톤 이동을 제어하는 밸브 수단(4)과, 드릴링 유체가 상대적으로 저압을 갖는 경우 드릴 파이프(10) 외부의 환형부(50) 및 드릴 파이프(10) 내의 드릴링 유체 유동 통로를 연결시키는 도관(31, 32)과, 증가된 압력에서 드릴링 유체를 위한 헤더 도관(16)에 작은 피스톤 영역(12)의 전방의 공간을 연결시키기 위한 체크 밸브(15A)를 갖는 고압 도관(15)을 포함하는, 깊은 드릴링을 위해 드릴 파이프의 하단부에 드릴 비트 위에 장착되어, 특히, 오일 및 가스에 대해, 드릴 스트링 및 드릴 파이프를 통해 하향 드릴링 유체 유동의 에너지를 사용함으로써 유체 압력을 증가시키는 압력 변환기에 있어서, 작은 피스톤 영역(12, 14)의 전방의 공간은 특정 작업 유체를 수납하도록 되며 작업 유체와 드릴링 유체 사이를 분리하기 위한 가동 막(12B, 14B)이 제공되는 것을 특징으로 하는 압력 변환기.	Pressure converter for mounting above the drill bit at the lower end of a drill pipe for deep drilling, in particular for oil and gas, and for generating an increased fluid pressure by utilizing energy in a drilling fluid flow downwards through the drill string and the drill pipe, comprising a reciprocating piston (6) which under the influence of drilling fluid pressure is moveable between opposite end positions in a cylinder (1,2,3), said piston having at one side a relatively large piston area (11) which during piston movement in a first direction is influenced by the drilling fluid pressure in the drill pipe (10), and an oppositely facing, relatively small piston area (12) which during the piston movement in the first direction generates an increased pressure in a smaller portion of the drilling fluid flow, valve means (4) for controlling the piston movement in the cylinder (1,2,3), conduits (31,32) which communicate with drilling fluid flow passages within the drill pipe (10) and the annulus (50) outside the drill pipe (10) , where the drilling fluid has a relatively low pressure, and a high pressure conduit (15) with a check valve (15A) for connecting the space in front of the small piston area (12) to a header conduit (16) for drilling fluid at the increased pressure, c h a r a c t e r i z e d in that the space in front of the small piston area (12,14) is adapted to receive a particular working fluid and that there is provided a moveable membrane (12B,14B) for separating between the working fluid and the drilling fluid.
구어체	구어체	그럼 에러가 발생하지 않게 하기 위한 방법은 없나요?	Then, is there no way to prevent errors from occurring?
기후	기후	이 화산은 1568년 대규모 분출을 일으켜 만여명이 숨지고 1919년에도 수천명이 숨지는 등 1500년 이후 여러 차례 분출해 만 5천여명이 숨진 것으로 알려졌다.	In 1568, the volcano erupted, killing 10,000 people and thousands more in 1919.
sports	스포츠	라운드 내내 압도적으로 앞서다 규칙에 없는 엘보우 공격을 가한 것이 빌미가 돼 패배를 기록했기 때문이다.	This is because he was overwhelmingly ahead throughout the round and was defeated by making an elbow attack that was not in the rules.
해외영업	도소매유통	다음 주 화상회의에서는 우리 부서의 신입 사원 허지선양도 소개해 드리겠습니다	At next week's video conference, I'll introduce Heo Ji Sun, a new employee of our department.
대화체	비즈니스	관리팀과 이야기를 나눈 후 불편한 부분은 수정할 수 있도록 하겠습니다.	I will try to adjust the inconvenient part after discussing it with the admin team.
기술과학	빅데이터	의미론적 관계 그래프를 사용하여 생성된 키워드들 및 키워드 카테고리들은 관련성 및 친화도에 기초하여, 선택된 것 또는 선택되지 않은 것으로 필터링되고 분류될 수 있다.	Keywords and keyword categories generated using the semantic relationship graph may be filtered and classified as selected or unselected based on relevance and affinity.
해외영업	도소매유통	전원이 110V 지역은 사용할 수가 없습니다.	The 110V power area is not available.
세계	사회_의료	게이츠와 아내 멜린다 게이츠가 2000년 설립한 빌 앤드 멜린다 게이츠 재단은 전 세계의 건강 증진과 극심한 빈곤 방지 등을 위한 활동을 벌이고 있다.	The Bill and Melinda Gates Foundation, founded in 2000 by Gates and his wife, Melinda Gates, is dedicated to promoting health and preventing extreme poverty around the world.
전자	무선통신	이를 통해, 케이스(25) 내부의 구성 요소들(특히, 제1 워킹 코일(WC1))의 효율적인 냉각이 가능하다.	Therefore, efficient cooling of inner components (particularly, the first working coil WC1) inside the case 25 may be performed.
세계	국제기구	"미국과 중국 사이에서 적절한 줄다리 외교를 통해 실리를 극대화해야 한다""고 주장했다."	"""We need to maximize the benefits through proper tug-of-war diplomacy between the United States and China,"" he said."
ICT	통신	이벤트 후에는 세세=한국에너지공단이라는 인식이 될 수 있도록 힘쓰고 있다.	After the event, we are working hard to be recognized as Sese = Korea Energy Agency.
교육	초중고등교육	우리나라 같은 경우에는 어떤 매립을 많이 사용할까?	What kind of landfills are widely available in Korea?
sports	스포츠	LG 류중일 감독이 신예 손주영에게 한 번 더 선발 등판 기회를 주기로 결정했다.	LG coach Ryu Joong-il has decided to give rookie Son Joo-young another chance as the starter.
해외고객과의채팅	도소매유통	둘째 날은 해녀박물관, 아쿠아플라넷, 선엽민속촌을 방문합니다.	On second day, you'll visit Haenyeo Museum, Aqua Planet and Seonyup Folk Village.
해외영업	도소매유통	새로운 라인의 설거지통 바구니를 주문하고자 하신다면, 오늘부터 7일 후에 다시 주문을 해 주시면 됩니다.	If you want to order a new line of dishwasher baskets, you can order them again 7 days from today.
경제	경제경영	신북방정책을 성공적으로 추진하기 위해서는 다음과 같은 노력이 필요하다.	The following efforts are needed to successfully promote the New Northern Policy.
사무용 기계 및 장비 제조업	청구항	도트 프린터 인쇄 헤드는 탄성 변형 가능한 잎 스프링에 있으며, 핀 멤버와 함께 선행 섹션이 제공되는 순간 위에 언급한 잉크 멤버에 의해 용지가 변위되어 기어 변속 쪽으로 리프 스프링이 이동하며, 위에 언급된 thr에 따라 유닛 인쇄를 수행합니다.종이와 함께 전달하는 방향은 위에 언급한 잎샘에 특징지어지며, 위에서 언급한 핀부재는 위에 언급한 각 잎샘에 고정되어, 휴면 및 안쪽 면 O가 형성된다.f 이 유지보수 플랫폼에 남아 있는 탄소 공구 강철과 리세스로 만들어진 유지보수 플랫폼과 상기 잉크 멤버의 접촉 구면과의 충전 및 공격 본체로 구성되며, 상기 각 리프 스프린에 의해 각각 형태를 유지하는 플랫폼의 리세스g 위에서 언급한 처리량 방향에서, 스태거링으로 탐사 각도를 인쇄하는 일정 거리에 해당하는 용지를 사용한다.	Dot printer printhead, it had in the leaf spring of elastically deformable and moment that leading section is provided with the pin member makes this leaf spring towards the gearshift with the paper displacement, by the inking member above-mentioned pin member is charged and attacked and to carry out a unit printing along the above-mentioned of throughput direction conveying with paper, it is characterized in thatabove-mentioned leaf spring along with above-mentioned set side by side with the vertical direction of the throughput direction of paper a plurality of, andabove-mentioned pin member is by being fixed on above-mentioned each leaf spring, being formed with recess and the inner face of the maintenance platform that is made of the carbon tool steel steel and the recess that remains in this maintenance platform and charge and attack body with the contacted sphere of above-mentioned inking member and constitute on front end face,the above-mentioned recess of platform that respectively keeps forms by above-mentioned each leaf spring at above-mentioned throughput direction with paper corresponding to the some distance of printing the exploring degree with staggering.
위해식품정보	축수산물	미처리 APEC의 OM보다 GI-7을 처리한 APEC의 OM에서 더 저수준의 LPS를 관찰했다.	A lower level of LPS was observed in OM of APEC treated with GI-7 than in OM of untreated APEC.
구어체	구어체	내가 이 모든 걸 다시 해야 한다면, 내가 할 거라는 걸 네가 믿어야 해요.	If I have to do all this again, you have to believe that I will.
law	대법원판례	피고가 2010. 7. 2. 원고에 대하여 한 2009 사업연도 법인세 2,803,592,540원(가산세 포함)의 부과처분을 취소한다.	The disposition of imposing corporate tax of KRW 2,803,592,540 (including additional tax) for the 2009 business year filed by the Defendant against the Plaintiff on July 2, 2010 is reversed.
위해식품정보	축수산물	NoV 바이러스 부하는 정량적 실시간 역전사 PCR에 의해 정량화되었다.	NoV viral loads were quantified by quantitative real-time reverse transcription PCR.
세계	사회_환경	26일 호주 언론에 따르면 일본 포경선들의 활동을 감시하고 있는 해양생물보호단체 시셰퍼드가 운영하는 스티브 어윈호와 밥 바커호, 샘 사이먼호는 25일 남극해에서 재급유를 받고 있던 일본 포경선 니신마루호를 5차례나 들이받았다.	According to the Australian media on the 26th, the Steve Irwin, Bob Barker and Sam Simon operated by Sea Shepherd, a marine life conservation group that monitors the activities of Japanese whaling ships, hit the Japanese whaling vessel Nishinmaru, which was refueling, 5 times on the 25th in the Antarctic Ocean.
해외영업	연구개발,과학기술	태양광 에너지는 수익성 있는 투자입니다.	Solar energy is a profitable investment.
기술과학	IT	전자 장치(100)는 촬영되는 이미지로부터 산출된 눈 사이의 거리 정보에 기초하여 사용자의 얼굴 및 카메라(110) 간 거리를 산출할 수 있다.	The electronic device 100 may calculate the distance between the user's face and the camera 110 based on the distance information between the eyes calculated from the captured image.
일상생활	여행	전라도 아니여.	It's not Jeolla-do.
연구평가정보	가공식품	처리 비교는 ≤ 0.05의 P 값이 유의미한 것으로 간주되는 피셔의 최소 유의차 검정을 사용하여 수행하였다.	Treatment comparisons were performed using Fisher's least-significant-difference test, with a P value of ≤0.05 considered significant.
지자체웹사이트	경기도	작은 크기로 고성능을 구현하는 기계로 현장 활용도가 높아 시장규모가 매년 성장에 있다.	Because field use is high as a machine that implements high performance with small size, size of market is growing every year.
일상생활	구매	우와 진짜 멋있다.	Wow, that's so cool.
의학	외과학	첫 번째 MTP 관절은 증상 발현과 MSU 침전물의 가장 흔한 부위일 뿐만 아니라 통풍에서 골미란의 흔한 부위이기도 하다.	The fist MTP joints are not only the most common site for symptom development and MSU deposition but also the common site of bone erosion in gout.
